attendance,participation,assignment score,year_of study,number of subjects taken,class size,peer performance,cats,rats,Final exam
18,10,4,4,7,142,90,5,8,69
10,13,1,2,5,108,51,1,8,48
9,11,4,6,4,181,59,30,8,65
5,5,5,3,5,112,40,38,3,50
7,16,3,5,3,55,10,31,4,57
17,14,9,3,3,88,65,21,6,88
5,2,1,5,7,126,36,14,2,21
8,2,7,5,3,165,26,36,5,54
13,8,8,6,4,175,89,36,8,83
3,15,7,5,5,182,83,28,8,66
1,18,9,5,4,51,60,13,10,62
6,13,1,5,3,68,13,14,3,37
6,18,5,2,3,130,8,4,9,51
2,19,10,6,3,114,70,21,4,65
5,11,10,4,7,191,12,20,6,53
16,18,10,4,5,92,44,11,8,85
11,4,10,3,4,99,14,2,5,47
1,15,4,4,4,155,2,39,1,46
5,7,8,4,6,71,19,23,4,47
8,5,8,4,7,154,82,19,5,56
20,6,1,4,7,114,44,38,2,69
15,16,8,5,5,92,14,34,9,87
11,5,1,1,6,192,30,17,4,41
1,9,1,4,4,107,61,26,8,42
5,15,8,2,5,191,35,18,1,52
15,19,7,6,5,74,61,38,2,89
14,2,1,3,5,89,27,26,4,48
14,12,2,3,4,64,13,30,5,64
7,18,10,2,7,158,10,25,5,68
8,19,8,2,4,115,62,32,7,83
15,2,10,1,4,86,90,33,3,79
8,13,1,1,7,75,32,40,3,59
11,5,3,4,4,118,9,11,10,45
8,10,4,3,3,41,34,28,4,56
8,12,8,3,3,147,92,31,2,71
19,17,2,6,6,47,73,17,10,83
5,6,1,5,3,165,8,31,1,33
9,16,7,5,6,181,34,37,6,74
18,20,3,1,6,172,7,9,4,68
14,4,7,6,7,185,6,24,10,61
1,15,3,1,3,129,15,35,9,55
19,12,5,3,3,104,40,9,8,73
15,14,7,5,5,119,59,6,1,62
1,12,9,2,3,44,69,21,4,56
10,1,6,6,7,105,7,19,2,37
1,8,8,3,3,100,1,38,5,50
17,13,3,5,4,119,26,23,9,73
9,2,9,1,3,41,91,33,2,66
9,8,8,5,4,40,51,22,7,63
15,5,6,4,4,200,92,24,1,65
9,2,4,2,4,99,7,20,10,46
9,13,7,3,5,93,8,35,10,73
13,4,6,3,4,41,9,40,2,62
9,19,10,4,5,44,64,34,7,89
20,19,5,6,6,123,83,34,5,98
1,16,6,5,7,120,24,31,3,50
10,20,4,6,7,122,24,15,5,59
3,20,4,4,3,111,8,14,3,44
12,7,3,1,3,161,28,35,9,67
10,14,7,5,5,130,82,20,7,72
3,16,4,5,3,83,43,33,1,53
5,10,2,4,7,188,32,9,1,28
3,11,7,1,7,180,58,13,9,52
8,15,9,3,4,65,25,37,5,76
12,17,9,4,4,120,48,15,9,79
2,3,1,2,6,116,90,2,8,27
1,2,1,5,4,60,42,16,10,28
5,10,9,1,5,68,74,39,7,75
4,18,7,3,7,83,37,37,9,73
18,6,1,3,4,150,55,8,10,60
10,6,3,3,3,154,24,4,9,42
9,15,9,3,5,115,30,28,4,71
15,6,4,1,5,177,96,17,8,69
18,19,7,3,7,147,89,9,9,89
12,10,2,5,5,188,85,14,2,52
3,11,2,3,7,167,1,9,1,22
15,18,2,6,6,147,93,7,5,67
11,20,8,4,3,197,52,34,5,85
19,7,2,2,5,102,95,26,9,81
3,10,4,1,7,63,43,39,9,60
13,2,4,2,5,146,83,2,2,43
1,6,4,1,4,175,78,11,6,36
11,9,9,6,6,130,97,1,2,55
5,13,10,2,4,180,52,39,1,69
12,10,10,5,6,167,17,9,1,53
18,2,8,1,6,119,75,9,9,71
9,12,10,2,5,48,68,20,9,76
1,10,7,3,6,110,28,22,6,45
14,19,1,4,4,176,24,11,4,58
15,2,2,2,3,59,33,32,4,58
6,18,8,6,5,48,69,17,6,67
4,18,2,5,3,175,35,17,7,49
8,20,6,3,7,189,4,3,6,52
11,9,5,6,6,42,73,3,10,56
6,6,9,3,3,172,32,27,8,59
20,4,10,5,6,88,38,22,1,71
16,17,8,5,6,138,74,21,3,82
2,16,1,3,3,139,19,10,3,32
8,10,6,3,5,66,20,18,6,53
9,5,3,4,7,193,58,21,4,45
11,2,1,6,7,191,49,27,4,43
17,2,6,1,6,181,66,35,4,73
10,9,5,4,4,42,41,4,3,44
8,7,9,5,3,183,71,15,10,63
18,3,3,5,6,89,76,7,5,55
4,7,5,3,5,53,53,3,7,37
9,8,8,2,3,145,44,23,6,63
16,2,7,2,7,51,87,1,6,58
10,8,2,4,6,199,17,27,4,47
10,3,8,1,6,177,65,8,7,53
10,18,10,6,7,153,57,17,8,77
20,12,3,4,3,121,44,23,3,74
10,4,7,6,4,136,23,40,8,65
15,16,3,4,5,159,67,20,6,73
11,15,9,1,5,166,43,3,2,59
12,7,5,2,5,190,76,10,4,54
6,3,5,3,3,191,67,22,7,49
2,13,10,4,3,193,47,30,2,58
20,11,10,5,4,76,2,27,2,80
20,16,5,6,6,79,39,16,2,74
16,13,9,1,5,152,23,23,5,79
2,14,7,1,7,91,19,34,8,61
6,6,10,4,4,62,46,25,10,64
10,18,2,6,7,133,3,12,1,44
7,16,5,2,6,46,41,15,2,53
15,12,7,4,6,59,87,22,1,74
7,5,7,4,6,56,7,33,10,58
15,7,10,6,5,120,90,28,6,82
4,18,1,1,3,57,8,20,5,47
18,15,3,5,4,68,27,12,2,63
7,4,3,2,7,87,51,39,10,60
17,10,5,6,7,135,72,39,8,86
9,7,1,5,4,196,5,9,8,35
15,14,6,5,5,181,89,1,6,67
9,1,6,2,4,120,63,24,2,49
16,9,6,4,5,180,62,30,1,71
7,17,10,2,3,47,23,23,4,69
10,16,9,4,7,165,62,35,7,84
12,9,5,6,7,169,80,2,6,52
14,1,7,1,7,169,41,1,7,48
3,14,6,4,4,189,74,8,8,51
12,7,6,1,7,180,98,21,9,72
18,19,10,1,4,140,38,17,8,94
9,6,8,4,7,62,76,4,6,51
17,9,7,2,7,63,28,32,6,79
20,15,9,4,5,110,34,16,9,89
5,20,2,3,7,65,34,29,1,54
10,12,2,1,6,85,69,17,1,52
1,15,5,6,3,150,67,38,9,65
15,15,10,2,7,145,7,23,9,83
5,9,5,2,7,45,38,33,7,57
1,13,7,4,3,173,15,20,7,47
19,1,8,4,5,199,27,9,7,60
9,6,3,6,5,130,76,4,4,39
3,19,5,2,4,110,72,40,10,78
16,5,7,4,7,194,69,25,4,69
7,9,2,2,4,182,15,25,8,48
7,3,4,1,7,187,38,4,7,33
2,14,9,3,7,131,95,36,8,74
12,13,3,6,7,158,26,38,1,62
6,15,3,3,5,111,96,10,8,57
9,1,10,6,5,178,38,21,6,52
20,5,7,1,4,126,5,32,6,78
14,6,9,5,6,75,57,18,2,63
7,4,4,2,3,175,80,4,10,45
4,10,2,4,6,129,93,3,9,41
18,13,10,3,7,90,90,12,1,80
6,6,10,6,6,55,74,5,3,45
11,7,1,5,6,99,11,24,6,46
8,16,7,1,7,75,6,19,2,56
8,12,5,2,7,160,21,38,5,63
9,8,2,4,4,163,22,10,3,36
10,19,2,3,4,179,86,3,9,63
1,20,5,2,5,122,100,7,4,52
5,15,9,4,3,99,80,37,5,77
11,18,3,3,7,104,34,29,8,72
2,10,8,3,6,134,57,2,8,42
13,10,9,2,6,178,79,28,8,83
3,14,3,2,6,185,26,38,3,52
5,2,8,2,3,70,87,25,7,57
9,18,9,1,3,53,40,22,6,77
1,17,6,5,6,128,42,4,8,43
2,16,2,3,4,101,54,16,3,42
10,11,8,6,4,95,90,9,2,59
18,10,4,2,4,122,33,25,2,69
16,13,2,3,5,172,49,21,4,66
12,4,3,5,5,150,57,16,6,49
9,19,2,6,7,175,96,39,6,77
7,3,3,3,5,77,56,35,8,55
13,2,3,3,4,138,66,21,8,57
18,11,1,2,7,154,73,37,5,79
16,9,6,6,7,43,97,23,5,76
3,16,6,1,7,125,55,7,2,44
17,18,1,1,6,60,36,13,4,67
8,14,1,4,4,183,43,33,4,57
2,7,1,2,7,176,57,12,3,26
13,5,9,5,3,178,31,31,7,70
2,20,4,4,3,75,44,30,9,65
4,15,6,3,6,64,17,3,1,36
5,17,8,3,7,45,66,32,3,70
2,2,4,5,4,83,17,18,5,26
9,2,8,4,5,104,72,40,4,65
20,12,7,3,3,59,64,7,7,80
1,10,8,5,3,63,46,37,10,63
3,17,8,6,4,167,67,11,8,58
9,12,6,1,4,97,5,1,10,51
13,16,7,1,7,116,11,26,8,77
12,1,5,2,5,178,17,15,2,40
5,17,4,1,6,169,15,38,1,57
15,17,1,3,5,83,81,20,2,69
15,16,3,2,4,102,42,37,7,83
11,15,1,2,4,151,95,34,5,74
2,4,9,5,5,75,62,17,7,45
14,13,5,3,7,160,96,15,8,75
4,19,1,2,5,186,80,13,7,53
12,20,2,3,3,159,8,27,6,69
18,9,2,1,5,101,77,1,4,58
12,15,3,6,4,119,74,16,4,62
15,11,1,4,7,43,18,11,2,47
17,19,5,4,6,197,89,21,6,87
18,11,4,5,4,109,65,4,9,68
1,12,2,4,5,192,7,12,4,26
16,14,7,4,7,45,74,11,6,76
5,16,4,2,4,164,51,4,7,48
3,3,7,1,7,131,65,22,2,41
15,14,6,1,3,86,42,37,6,86
18,13,4,6,3,85,37,39,10,89
9,19,3,5,4,129,65,12,7,62
7,16,10,1,6,88,9,11,4,58
8,10,7,5,3,180,29,13,1,45
2,17,4,6,5,77,56,17,3,46
11,4,5,2,4,148,74,22,10,64
3,16,2,1,5,143,81,25,7,58
17,4,9,2,4,154,38,25,8,76
15,16,3,2,7,153,20,10,1,55
4,15,4,5,7,155,47,16,5,46
9,6,7,4,3,190,96,33,9,73
14,15,9,2,5,70,33,31,8,88
3,20,1,6,6,46,46,38,4,58
6,1,3,2,6,69,71,35,2,45
5,6,8,5,5,122,62,25,4,52
20,16,10,2,5,155,15,25,10,97
4,19,9,6,6,135,40,2,10,57
1,16,8,1,7,176,70,39,10,74
7,15,6,4,5,113,23,10,9,55
2,16,9,6,6,142,24,5,2,40
14,18,9,2,6,57,50,12,2,75
15,20,3,3,5,190,52,12,10,76
19,16,2,1,5,77,45,19,10,83
17,5,8,2,3,51,67,39,1,81
10,16,8,2,3,52,44,29,5,77
3,15,3,6,5,104,2,16,5,38
19,4,10,2,6,50,32,13,9,75
16,16,2,4,3,125,36,6,7,63
7,2,8,4,7,44,87,17,10,57
7,17,10,4,4,160,29,25,3,67
14,18,5,6,5,155,49,4,1,58
6,14,7,4,3,60,29,34,3,63
16,19,8,4,4,102,89,20,1,86
15,5,2,4,4,103,55,17,1,50
8,13,1,6,4,141,26,38,6,58
14,9,8,5,7,116,27,37,3,72
17,12,10,2,6,185,33,6,10,77
17,5,6,3,4,129,79,13,2,63
10,14,3,1,4,44,1,14,5,52
4,10,9,4,7,146,48,22,7,56
10,13,6,5,6,179,16,24,8,63
17,20,1,3,7,81,76,38,8,93
11,20,6,5,7,130,66,40,3,83
15,15,1,5,6,113,36,10,3,54
4,1,3,5,4,63,54,36,6,44
15,1,6,2,7,133,76,17,2,56
13,20,10,4,5,198,17,16,9,81
11,11,7,6,5,93,71,40,8,82
13,9,3,1,4,136,83,38,6,77
8,17,3,1,6,93,96,5,5,58
8,14,2,5,4,197,77,15,9,58
14,19,2,3,3,73,55,11,4,66
7,11,5,2,5,185,27,1,10,45
20,12,3,4,4,130,86,17,10,84
11,2,5,2,7,78,98,23,6,60
9,4,7,6,7,150,38,18,3,45
17,16,7,1,6,105,18,23,6,81
6,19,4,6,7,199,90,15,6,60
6,2,5,4,7,81,95,2,10,42
7,3,9,2,6,109,34,3,1,35
12,17,8,5,5,46,37,5,10,70
2,8,2,6,7,108,80,12,6,34
12,18,9,5,5,59,32,28,10,86
3,12,3,6,3,129,67,33,10,59
11,7,1,2,5,71,44,26,10,59
1,20,10,3,3,76,14,34,6,69
6,15,4,4,3,193,95,19,10,66
10,1,2,3,6,107,30,23,10,47
7,1,1,4,3,64,13,12,3,23
3,14,4,4,7,107,82,2,5,41
10,20,3,1,7,190,94,21,3,70
5,10,9,2,7,144,58,8,6,51
5,7,4,6,5,127,66,15,6,42
12,15,9,4,3,165,88,6,8,75
8,16,9,5,5,51,95,8,2,64
19,12,7,2,4,146,34,24,1,77
15,11,8,6,5,44,45,10,10,72
5,7,9,5,5,42,13,32,2,51
7,12,7,4,5,91,61,24,10,68
9,17,7,3,6,99,47,30,1,69
11,17,3,5,7,118,31,6,4,51
8,20,10,5,7,190,45,29,2,74
12,20,2,6,7,96,81,33,7,80
20,9,7,5,5,185,34,37,8,88
4,7,7,1,4,83,21,3,7,38
20,16,4,5,6,127,8,18,7,75
8,15,2,4,3,87,9,24,10,59
1,10,5,6,5,151,94,33,3,51
13,20,3,2,4,193,70,26,1,74
7,3,3,3,7,194,7,28,5,38
11,10,5,2,7,175,76,26,10,72
12,11,3,6,6,59,59,35,6,69
16,7,10,6,4,43,71,6,9,73
6,12,4,1,5,71,58,13,3,48
18,15,6,6,5,53,80,21,7,86
10,9,1,1,7,156,3,24,6,47
10,10,7,1,7,196,58,35,4,70
3,2,3,6,6,69,11,1,4,13
1,10,6,3,7,50,21,21,9,45
19,15,4,4,5,75,6,25,4,74
10,1,3,2,4,77,5,2,6,30
9,15,2,3,4,110,59,40,6,72
3,19,5,4,6,47,86,15,7,60
9,10,2,2,3,141,36,25,1,48
9,12,5,1,7,179,26,3,2,42
6,8,7,6,6,67,71,20,1,48
18,2,8,6,7,41,54,1,3,53
16,18,1,6,3,109,21,25,1,65
17,19,5,1,7,114,63,17,6,83
14,1,4,5,6,159,95,23,3,56
3,17,9,5,7,156,17,4,6,46
17,12,4,3,4,150,49,27,1,71
9,4,3,3,7,129,42,34,5,52
3,14,3,6,6,173,70,35,1,51
6,10,4,5,3,181,64,32,7,60
1,12,4,3,5,90,59,8,2,33
6,11,1,5,4,179,47,39,10,61
11,12,7,1,7,78,61,31,1,70
17,9,6,2,7,120,99,27,8,86
4,4,8,1,5,137,67,28,10,60
11,1,2,1,5,159,23,33,8,52
11,11,10,2,3,168,92,23,10,84
20,17,7,5,6,63,20,6,1,70
9,20,4,1,7,190,58,31,10,80
14,16,3,4,4,109,93,13,4,69
18,11,4,3,5,198,96,3,10,73
12,5,3,5,4,127,15,22,7,50
20,17,5,1,3,200,16,35,8,94
16,7,4,6,6,79,39,21,6,62
5,14,5,4,5,88,44,3,10,49
14,6,2,6,6,118,76,33,1,59
20,2,9,5,5,44,56,16,9,77
11,12,3,6,5,197,83,17,7,61
2,9,2,6,3,41,46,14,10,39
16,4,3,6,7,129,53,28,9,65
6,3,9,2,6,60,41,24,3,49
20,13,7,6,7,200,32,16,10,81
9,12,3,4,6,88,19,29,4,55
8,14,4,5,5,79,17,7,2,41
10,16,8,5,6,171,83,35,7,84
7,16,8,5,7,111,67,14,1,57
13,4,8,1,6,183,94,35,8,80
6,3,4,3,6,96,91,35,3,53
5,7,5,1,6,112,42,10,5,39
12,18,3,6,4,157,93,20,10,78
4,13,2,3,6,69,48,40,10,63
14,10,9,1,5,152,59,18,2,70
17,6,10,5,4,60,68,16,9,80
10,13,3,4,6,158,30,25,1,52
10,7,4,1,5,109,76,17,7,58
13,7,9,2,7,40,92,9,9,72
5,8,9,6,7,192,61,38,7,65
4,15,9,2,7,166,51,27,6,65
2,6,9,2,4,66,2,29,10,53
16,10,3,4,5,162,60,5,9,61
12,15,2,3,3,49,84,20,10,74
15,5,7,3,3,41,39,26,10,74
13,13,8,2,4,111,67,18,4,74
6,7,9,3,7,164,51,22,4,53
11,10,6,6,4,166,63,15,1,54
3,18,6,5,7,195,21,18,6,50
3,13,9,4,4,195,74,24,4,60
3,1,10,4,3,192,23,31,4,45
7,15,5,4,5,85,92,14,8,64
15,15,4,4,7,101,75,21,7,76
18,6,1,2,3,43,3,36,8,70
1,14,6,5,5,138,47,5,8,41
3,13,1,4,4,126,4,23,2,34
4,4,6,5,3,173,65,17,3,39
5,11,3,3,3,180,57,31,2,51
18,1,7,1,3,172,75,8,2,59
8,5,8,2,7,65,68,8,10,56
3,19,10,2,4,74,89,33,3,77
20,10,7,6,7,67,83,16,10,86
19,15,10,5,6,185,61,7,5,81
13,13,8,6,5,109,67,29,9,83
4,5,9,3,5,73,25,18,8,48
1,1,3,5,6,106,73,17,10,33
5,9,3,3,6,63,5,37,7,51
16,8,8,1,5,111,69,32,4,82
15,14,6,4,5,132,93,17,2,73
8,17,10,6,7,85,91,12,5,70
9,12,3,4,4,107,64,4,4,46
9,7,8,3,3,41,80,1,10,58
19,9,8,2,4,72,9,21,5,75
20,20,4,6,5,81,30,8,10,81
4,9,7,4,5,111,74,37,1,58
13,19,9,3,6,52,61,14,3,77
7,20,1,5,5,136,45,12,4,50
19,15,5,2,7,154,76,23,9,90
19,12,5,2,4,139,28,3,7,67
3,10,9,4,4,78,72,12,5,51
3,12,3,3,4,45,23,2,1,26
6,12,3,4,5,180,99,4,3,43
11,7,4,2,6,96,95,12,5,56
8,12,3,5,3,95,91,26,6,63
13,18,2,1,4,57,27,36,2,73
12,4,1,3,5,162,26,32,8,55
14,18,9,1,6,63,82,28,7,95
19,4,7,1,7,175,33,40,1,76
14,2,3,5,6,118,53,12,1,41
18,5,8,1,5,137,98,31,10,92
7,17,3,1,5,179,33,34,4,63
18,7,4,2,4,190,9,1,3,48
12,4,9,5,3,83,90,4,6,59
5,20,10,4,5,51,20,38,9,82
10,20,8,5,5,87,42,35,7,85
2,13,4,1,7,178,84,9,2,40
9,1,10,2,3,146,30,14,6,51
14,19,8,2,4,93,75,16,5,84
7,10,8,2,4,147,11,10,2,44
1,10,3,2,5,45,76,15,8,44
20,10,5,3,4,196,38,6,4,65
14,2,9,1,3,174,77,38,4,78
7,3,1,5,5,140,96,4,2,29
17,9,3,1,5,92,48,25,6,71
4,9,5,4,4,190,90,31,8,61
3,4,3,2,4,117,55,28,2,38
11,3,10,4,4,191,92,16,10,69
11,10,7,4,3,40,64,39,3,75
3,5,4,3,6,140,5,34,9,44
